Starting /home/richel/Projects/Tools/ToolSolvePuzzleX-build-desktop/ToolSolvePuzzleX...
-96 32
-90 32
-84 32
-78 16
-76 16
-75 16
-73 48
-72 336
-71 48
-69 16
-68 16
-66 16
-60 32
-54 32
-48 80
-43 16
-42 112
-41 16
-40 48
-37 16
-36 160
-35 16
-33 64
-32 48
-31 32
-30 112
-29 16
-28 48
-27 176
-26 40
-25.3333 8
-25 32
-23 48
-22.6667 8
-22 168
-21 176
-20 48
-19.5 8
-19 48
-18.75 8
-18 112
-17.25 8
-17 64
-16.5 8
-16 64
-15 64
-14 328
-13 384
-12.6667 8
-12.5 8
-12 360
-11.5 8
-11.3333 8
-11 32
-10.5 8
-10.3333 16
-10 48
-9.66667 16
-9.33333 32
-9.25 16
-9 96
-8.75 16
-8.33333 32
-8 496
-7.75 16
-7.66667 32
-7.5 8
-7.33333 64
-7.16667 16
-7 480
-6.83333 16
-6.75 64
-6.66667 32
-6.5 16
-6.33333 32
-6.25 16
-6.08333 16
-6 856
-5.91667 16
-5.75 16
-5.66667 32
-5.5 80
-5.25 96
-5 456
-4.75 32
-4.66667 96
-4.5 384
-4.33333 48
-4.25 48
-4.05556 16
-4 200
-3.94444 16
-3.83333 16
-3.75 32
-3.66667 144
-3.5 144
-3.33333 144
-3.25 32
-3.04167 16
-3 192
-2.95833 16
-2.75 16
-2.66667 48
-2.5 128
-2.33333 112
-2.25 112
-2.16667 48
-2.08333 8
-2 576
-1.91667 8
-1.83333 16
-1.75 32
-1.66667 48
-1.58333 8
-1.5 128
-1.41667 8
-1.38889 8
-1.33333 96
-1.27778 8
-1.25 32
-1.22222 16
-1.16667 144
-1.125 16
-1 536
-0.875 16
-0.833333 40
-0.791667 8
-0.777778 16
-0.75 120
-0.722222 8
-0.708333 8
-0.666667 112
-0.611111 8
-0.583333 32
-0.555556 8
-0.541667 8
-0.5 224
-0.458333 8
-0.416667 32
-0.388889 8
-0.375 8
-0.333333 112
-0.291667 8
-0.277778 32
-0.25 24
-0.222222 144
-0.166667 200
-0.125 152
-0.111111 8
-0.0833333 32
-0.0555556 8
-0.0416667 8
-0.0138889 48
-0 576
0.0138889 48
0.0416667 8
0.0555556 8
0.0833333 32
0.111111 8
0.125 152
0.166667 200
0.222222 144
0.25 24
0.277778 32
0.291667 8
0.333333 112
0.375 8
0.388889 8
0.416667 32
0.458333 8
0.5 224
0.541667 8
0.555556 8
0.583333 32
0.611111 8
0.666667 112
0.708333 8
0.722222 8
0.75 120
0.777778 16
0.791667 8
0.833333 40
0.875 16
1 536
1.125 16
1.16667 144
1.22222 16
1.25 32
1.27778 8
1.33333 96
1.38889 8
1.41667 8
1.5 128
1.58333 8
1.66667 48
1.75 32
1.83333 16
1.91667 8
2 576
2.08333 8
2.16667 48
2.25 112
2.33333 112
2.5 128
2.66667 48
2.75 16
2.95833 16
3 192
3.04167 16
3.25 32
3.33333 144
3.5 144
3.66667 144
3.75 32
3.83333 16
3.94444 16
4 200
4.05556 16
4.25 48
4.33333 48
4.5 384
4.66667 96
4.75 32
5 456
5.25 96
5.5 80
5.66667 32
5.75 16
5.91667 16
6 856
6.08333 16
6.25 16
6.33333 32
6.5 16
6.66667 32
6.75 64
6.83333 16
7 480
7.16667 16
7.33333 64
7.5 8
7.66667 32
7.75 16
8 496
8.33333 32
8.75 16
9 96
9.25 16
9.33333 32
9.66667 16
10 48
10.3333 16
10.5 8
11 32
11.3333 8
11.5 8
12 360
12.5 8
12.6667 8
13 384
14 328
15 64
16 64
16.5 8
17 64
17.25 8
18 112
18.75 8
19 48
19.5 8
20 48
21 176
22 168
22.6667 8
23 48
25 32
25.3333 8
26 40
27 176
28 48
29 16
30 112
31 32
32 48
33 64
35 16
36 160
37 16
40 48
41 16
42 112
43 16
48 80
54 32
60 32
66 16
68 16
69 16
71 48
72 336
73 48
75 16
76 16
78 16
84 32
90 32
96 32
/home/richel/Projects/Tools/ToolSolvePuzzleX-build-desktop/ToolSolvePuzzleX exited with code 0
